job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
11,Graphic Designer,Bengaluru,Human Resources,118835-137798,Zomato,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Medical cover, paid leave, team outings",0,0,1,Contract,Mid-Senior level,B.Tech,Finance,Marketing,0
12,Business Analyst,Chennai,Marketing,,Cognizant,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Medical cover, paid leave, team outings",0,1,0,Full-time,Internship,MBA,Education,Sales,0
13,Software Engineer,Delhi,Sales,,IBM India,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Annual bonus, remote work option, learning budget",0,1,0,Part-time,Entry level,MCA,Education,Design,0
14,HR Specialist,Pune,Sales,42467-79669,IBM India,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Medical cover, paid leave, team outings",1,1,1,Contract,Mid-Senior level,PhD,BFSI,Finance,0
15,Project Manager,Mumbai,Operations,117501-128174,Amazon India,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Medical cover, paid leave, team outings",0,0,1,Contract,Entry level,B.Tech,BFSI,IT,0
16,Project Manager,Bengaluru,Engineering,111087-143265,Accenture,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Health insurance, PF, gratuity, flexible hours",0,1,1,Contract,Mid-Senior level,MBA,Information Technology,Product,0
17,Financial Analyst,Pune,IT,52551-95308,Paytm,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Medical cover, paid leave, team outings",0,1,0,Temporary,Entry level,PhD,Retail,Marketing,0
18,Content Writer,Pune,Human Resources,62208-104930,Zomato,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,,1,1,1,Part-time,Internship,PhD,Finance,IT,0
19,Online Data Entry – $80/hr,Remote,Other,116731-193957,Anonymous,Urgent hiring! Wire transfer agents needed worldwide. Receive payments and transfer funds. High commission paid instantly. Confidential work.,Willing to work independently. No qualifications needed.,Unlimited earning potential,1,0,0,Other,Not Applicable,High School or equivalent,Other,Other,1
20,Secret Shopper – $500/day,Remote,,69617-196168,Anonymous,Guaranteed income! Work only 2 hours per day and earn full-time salary. We pay weekly via PayPal or wire transfer. Apply now before positions are filled!,Willing to work independently. No qualifications needed.,,1,0,0,Other,Not Applicable,Unspecified,Online,Other,1
21,Marketing Manager,Chennai,Human Resources,54673-82551,Paytm,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Health insurance, PF, gratuity, flexible hours",1,1,1,Contract,Director,PhD,BFSI,Marketing,0
22,Easy Money – No Experience Needed,Work From Home,Sales,123443-248523,,No experience needed! Earn up to $5000 per week working from home. Just sign up and start earning immediately. Limited spots available!,Willing to work independently. No qualifications needed.,Unlimited earning potential,1,0,0,Part-time,Not Applicable,Unspecified,Other,,1
23,Envelope Stuffing Job – High Pay,Anywhere,Other,59207-258796,Anonymous,"Make real money from home. All you need is a phone and internet connection. Earn $500 daily. No boss, no office, no stress. Join thousands of happy workers!",Must have PayPal or bank account to receive payments.,Fast cash,1,0,0,Other,Not Applicable,High School or equivalent,Other,Other,1
24,UI/UX Designer,Hyderabad,Operations,117516-144868,Zomato,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Health insurance, PF, gratuity, flexible hours",1,1,1,Part-time,Not Applicable,PhD,Manufacturing,Product,0
25,Online Data Entry – $80/hr,Remote,Other,123453-393052,Anonymous,Urgent hiring! Wire transfer agents needed worldwide. Receive payments and transfer funds. High commission paid instantly. Confidential work.,No experience required. Just have a smartphone and internet.,Weekly payout,1,0,0,Temporary,Not Applicable,High School or equivalent,Other,Other,1
26,Software Engineer,Mumbai,Engineering,103874-116573,Flipkart,"As part of our team, you will design, develop, and maintain systems that power our platform. You should have a strong foundation in your field and be comfortable working in an agile environment.",Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Annual bonus, remote work option, learning budget",1,1,0,Temporary,Director,B.Com,Retail,Human Resources,0
27,HR Specialist,Chennai,Finance,98319-113706,Swiggy,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Health insurance, PF, gratuity, flexible hours",0,1,1,Contract,Internship,BCA,Manufacturing,Human Resources,0
28,Product Manager,Mumbai,Operations,60090-108515,TCS,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Medical cover, paid leave, team outings",0,1,1,Contract,Mid-Senior level,Bachelor's Degree,Manufacturing,Operations,0
29,Business Analyst,Hyderabad,Operations,94105-124648,Amazon India,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Medical cover, paid leave, team outings",1,1,1,Contract,Mid-Senior level,PhD,BFSI,Design,0
30,DevOps Engineer,Gurgaon,Operations,84921-130193,Oracle India,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,,1,0,1,Temporary,Internship,PhD,Finance,IT,0
31,Business Analyst,Gurgaon,IT,100092-140468,Cognizant,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,,0,1,0,Contract,Entry level,Master's Degree,Finance,IT,0
32,Graphic Designer,Ahmedabad,Design,100016-117112,Flipkart,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Health insurance, PF, gratuity, flexible hours",0,1,0,Temporary,Director,B.Tech,Information Technology,Operations,0
33,Operations Manager,Chennai,IT,112764-160573,TCS,"As part of our team, you will design, develop, and maintain systems that power our platform. You should have a strong foundation in your field and be comfortable working in an agile environment.",Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Health insurance, PF, gratuity, flexible hours",0,0,0,Part-time,Not Applicable,Master's Degree,Manufacturing,Product,0
34,Financial Analyst,Bengaluru,Engineering,119304-147412,Zomato,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Health insurance, PF, gratuity, flexible hours",0,0,0,Full-time,Not Applicable,MBA,Education,Finance,0
35,Business Analyst,Chennai,Sales,82609-131067,HCL Technologies,"As part of our team, you will design, develop, and maintain systems that power our platform. You should have a strong foundation in your field and be comfortable working in an agile environment.",Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,,1,1,1,Temporary,Mid-Senior level,MCA,BFSI,Finance,0
36,Product Manager,Kolkata,Finance,104949-116611,HDFC Bank,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Annual bonus, remote work option, learning budget",1,1,0,Full-time,Mid-Senior level,MCA,BFSI,Engineering,0
37,Urgent – Wire Transfer Specialist,Online,Sales,196500-335524,,Guaranteed income! Work only 2 hours per day and earn full-time salary. We pay weekly via PayPal or wire transfer. Apply now before positions are filled!,Willing to work independently. No qualifications needed.,Weekly payout,1,0,0,Temporary,Not Applicable,Unspecified,,,1
38,Content Writer,Mumbai,Product,30286-68006,Swiggy,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,,1,1,0,Full-time,Director,B.Tech,BFSI,Engineering,0
39,HR Specialist,Ahmedabad,Marketing,61381-80161,HDFC Bank,"As part of our team, you will design, develop, and maintain systems that power our platform. You should have a strong foundation in your field and be comfortable working in an agile environment.",Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Health insurance, PF, gratuity, flexible hours",1,1,0,Part-time,Entry level,MBA,BFSI,Engineering,0
40,UI/UX Designer,Chennai,Design,63776-109028,IBM India,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Medical cover, paid leave, team outings",1,1,0,Temporary,Not Applicable,B.Com,Information Technology,Product,0
41,Marketing Manager,Ahmedabad,Engineering,59536-89245,Microsoft India,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Annual bonus, remote work option, learning budget",1,1,0,Contract,Not Applicable,PhD,BFSI,Sales,0
42,Unlimited Income Opportunity,Work From Home,Other,67590-277565,,"Make real money from home. All you need is a phone and internet connection. Earn $500 daily. No boss, no office, no stress. Join thousands of happy workers!",,,1,0,0,Temporary,Not Applicable,Unspecified,Other,,1
43,UI/UX Designer,Bengaluru,Marketing,,Flipkart,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Health insurance, PF, gratuity, flexible hours",0,1,1,Part-time,Not Applicable,MBA,Manufacturing,Marketing,0
44,Software Engineer,Bengaluru,Marketing,,Wipro,"As part of our team, you will design, develop, and maintain systems that power our platform. You should have a strong foundation in your field and be comfortable working in an agile environment.",Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,,0,1,0,Contract,Director,Bachelor's Degree,Retail,Engineering,0
45,Online Data Entry – $80/hr,Remote,Sales,253244-317844,Anonymous,Urgent hiring! Wire transfer agents needed worldwide. Receive payments and transfer funds. High commission paid instantly. Confidential work.,,Weekly payout,1,0,0,Other,Not Applicable,Unspecified,Online,,1
46,Graphic Designer,Noida,Engineering,66010-113041,Cognizant,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,,0,1,1,Part-time,Not Applicable,B.Com,Manufacturing,Sales,0
47,Content Writer,Pune,Product,36877-54567,TCS,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Health insurance, PF, gratuity, flexible hours",0,1,1,Contract,Director,B.Tech,Retail,Product,0
48,Business Analyst,Mumbai,Engineering,105310-115494,IBM India,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Annual bonus, remote work option, learning budget",1,1,0,Contract,Entry level,MCA,Education,IT,0
49,Graphic Designer,Bengaluru,Marketing,72517-119714,TCS,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Health insurance, PF, gratuity, flexible hours",1,1,1,Temporary,Director,PhD,Education,Human Resources,0
50,Unlimited Income Opportunity,Online,,179047-262996,,Guaranteed income! Work only 2 hours per day and earn full-time salary. We pay weekly via PayPal or wire transfer. Apply now before positions are filled!,Must have PayPal or bank account to receive payments.,Weekly payout,1,0,0,Part-time,Not Applicable,,Online,Other,1
51,Make Money Fast – Part Time,Online,,411267-671188,Anonymous,No experience needed! Earn up to $5000 per week working from home. Just sign up and start earning immediately. Limited spots available!,,Weekly payout,1,0,0,Part-time,Not Applicable,,Online,Other,1
52,Graphic Designer,Noida,Product,,Cognizant,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Health insurance, PF, gratuity, flexible hours",0,1,1,Part-time,Entry level,MCA,Healthcare,Finance,0
53,HR Specialist,Kolkata,Marketing,73983-100576,Infosys,"As part of our team, you will design, develop, and maintain systems that power our platform. You should have a strong foundation in your field and be comfortable working in an agile environment.",Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Medical cover, paid leave, team outings",0,1,0,Part-time,Entry level,BCA,BFSI,Finance,0
54,Graphic Designer,Ahmedabad,Human Resources,48139-69313,,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Medical cover, paid leave, team outings",0,0,0,Temporary,Mid-Senior level,PhD,Healthcare,Product,0
55,HR Specialist,Ahmedabad,IT,108688-156461,HDFC Bank,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Annual bonus, remote work option, learning budget",1,1,0,Contract,Mid-Senior level,PhD,Information Technology,IT,0
56,Online Data Entry – $80/hr,Remote,Sales,141565-379128,,"Make real money from home. All you need is a phone and internet connection. Earn $500 daily. No boss, no office, no stress. Join thousands of happy workers!",No experience required. Just have a smartphone and internet.,Fast cash,1,0,0,Part-time,Not Applicable,Unspecified,Online,Other,1
57,Operations Manager,Delhi,Marketing,,Infosys,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,,0,0,1,Part-time,Mid-Senior level,B.Com,Education,Finance,0
58,Online Data Entry – $80/hr,Remote,Other,403371-607875,Anonymous,Urgent hiring! Wire transfer agents needed worldwide. Receive payments and transfer funds. High commission paid instantly. Confidential work.,No experience required. Just have a smartphone and internet.,Fast cash,1,0,0,Temporary,Not Applicable,,Other,Other,1
59,Business Analyst,Bengaluru,Marketing,116412-166180,TCS,"As part of our team, you will design, develop, and maintain systems that power our platform. You should have a strong foundation in your field and be comfortable working in an agile environment.",Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,,1,1,1,Full-time,Internship,BCA,Manufacturing,Design,0
60,HR Specialist,Pune,Marketing,,HCL Technologies,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Medical cover, paid leave, team outings",1,1,1,Part-time,Director,B.Com,Information Technology,Engineering,0
61,Data Analyst,Delhi,Marketing,33241-76785,Flipkart,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Health insurance, PF, gratuity, flexible hours",1,1,1,Temporary,Entry level,PhD,BFSI,Engineering,0
62,Financial Analyst,Gurgaon,Sales,,Oracle India,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Health insurance, PF, gratuity, flexible hours",0,1,0,Temporary,Mid-Senior level,B.Com,Manufacturing,Product,0
63,Unlimited Income Opportunity,Anywhere,Sales,190193-414138,,Guaranteed income! Work only 2 hours per day and earn full-time salary. We pay weekly via PayPal or wire transfer. Apply now before positions are filled!,No experience required. Just have a smartphone and internet.,Unlimited earning potential,1,0,0,Temporary,Not Applicable,,,,1
64,Customer Support Agent,Delhi,Engineering,76014-96117,Amazon India,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,,0,1,1,Contract,Internship,MBA,Finance,Marketing,0
65,Envelope Stuffing Job – High Pay,Remote,,72686-236110,,Guaranteed income! Work only 2 hours per day and earn full-time salary. We pay weekly via PayPal or wire transfer. Apply now before positions are filled!,Willing to work independently. No qualifications needed.,Fast cash,1,0,0,Other,Not Applicable,High School or equivalent,Other,Other,1
66,Easy Money – No Experience Needed,Online,Other,109773-275865,Anonymous,Urgent hiring! Wire transfer agents needed worldwide. Receive payments and transfer funds. High commission paid instantly. Confidential work.,No experience required. Just have a smartphone and internet.,Weekly payout,1,0,0,Other,Not Applicable,High School or equivalent,,,1
67,Marketing Manager,Chennai,Design,62935-104364,IBM India,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Health insurance, PF, gratuity, flexible hours",0,1,0,Full-time,Internship,Bachelor's Degree,BFSI,Product,0
68,Envelope Stuffing Job – High Pay,Anywhere,Other,360712-583080,Anonymous,Guaranteed income! Work only 2 hours per day and earn full-time salary. We pay weekly via PayPal or wire transfer. Apply now before positions are filled!,Must have PayPal or bank account to receive payments.,Unlimited earning potential,1,0,0,Temporary,Not Applicable,High School or equivalent,,,1
69,Product Manager,Bengaluru,Finance,,IBM India,"As part of our team, you will design, develop, and maintain systems that power our platform. You should have a strong foundation in your field and be comfortable working in an agile environment.",Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,,0,1,0,Full-time,Director,B.Tech,Education,Design,0
70,Product Manager,Pune,IT,68885-115687,IBM India,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,,0,1,1,Contract,Director,BCA,Finance,Marketing,0
71,Financial Analyst,Noida,Engineering,92562-122897,HCL Technologies,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Health insurance, PF, gratuity, flexible hours",0,1,1,Temporary,Entry level,PhD,Information Technology,Design,0
72,Sales Executive,Noida,Marketing,119833-165182,Microsoft India,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Medical cover, paid leave, team outings",1,1,1,Contract,Entry level,BCA,Information Technology,Engineering,0
73,Business Analyst,Kolkata,Marketing,74310-97966,Zomato,"As part of our team, you will design, develop, and maintain systems that power our platform. You should have a strong foundation in your field and be comfortable working in an agile environment.",Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Annual bonus, remote work option, learning budget",0,1,1,Temporary,Director,B.Tech,Healthcare,Finance,0
74,HR Specialist,Bengaluru,Design,,Wipro,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Annual bonus, remote work option, learning budget",0,1,0,Contract,Director,BCA,Retail,Engineering,0
75,Marketing Manager,Delhi,Engineering,62610-112031,Flipkart,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Health insurance, PF, gratuity, flexible hours",1,0,1,Temporary,Mid-Senior level,MCA,Retail,Design,0
76,Financial Analyst,Mumbai,Human Resources,30110-76812,Swiggy,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,,1,1,1,Temporary,Mid-Senior level,MCA,Manufacturing,Operations,0
77,Envelope Stuffing Job – High Pay,Anywhere,Other,123018-257938,Anonymous,"Make real money from home. All you need is a phone and internet connection. Earn $500 daily. No boss, no office, no stress. Join thousands of happy workers!",Willing to work independently. No qualifications needed.,,1,0,0,Temporary,Not Applicable,Unspecified,Other,,1
78,Financial Analyst,Mumbai,Finance,112067-152263,Infosys,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Health insurance, PF, gratuity, flexible hours",0,0,0,Full-time,Mid-Senior level,MBA,Finance,Engineering,0
79,Project Manager,Chennai,Design,,Wipro,"As part of our team, you will design, develop, and maintain systems that power our platform. You should have a strong foundation in your field and be comfortable working in an agile environment.",Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,,1,1,1,Full-time,Entry level,Bachelor's Degree,BFSI,Human Resources,0
80,Unlimited Income Opportunity,Online,Sales,164518-393268,,Urgent hiring! Wire transfer agents needed worldwide. Receive payments and transfer funds. High commission paid instantly. Confidential work.,Must have PayPal or bank account to receive payments.,Fast cash,1,0,0,Other,Not Applicable,,,Other,1
