job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent,description_length,requirements_length,has_company,missing_fields,max_salary,salary_anomaly,has_salary,scam_keyword_count,employment_risk,is_wfh,trust_score,risk_level,Label
26,Software Engineer,Mumbai,Engineering,103874-116573,Flipkart,"As part of our team, you will design, develop, and maintain systems that power our platform. You should have a strong foundation in your field and be comfortable working in an agile environment.",Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Annual bonus, remote work option, learning budget",1,1,0,Temporary,Director,B.Com,Retail,Human Resources,0,194,134,1,0,116573,0,1,0,1,1,95,Low Risk,Real
27,HR Specialist,Chennai,Finance,98319-113706,Swiggy,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Health insurance, PF, gratuity, flexible hours",0,1,1,Contract,Internship,BCA,Manufacturing,Human Resources,0,164,130,1,0,113706,0,1,0,0,0,100,Low Risk,Real
28,Product Manager,Mumbai,Operations,60090-108515,TCS,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Medical cover, paid leave, team outings",0,1,1,Contract,Mid-Senior level,Bachelor's Degree,Manufacturing,Operations,0,275,140,1,0,108515,0,1,0,0,0,100,Low Risk,Real
29,Business Analyst,Hyderabad,Operations,94105-124648,Amazon India,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Medical cover, paid leave, team outings",1,1,1,Contract,Mid-Senior level,PhD,BFSI,Design,0,221,130,1,0,124648,0,1,0,0,1,100,Low Risk,Real
30,DevOps Engineer,Gurgaon,Operations,84921-130193,Oracle India,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,,1,0,1,Temporary,Internship,PhD,Finance,IT,0,221,140,1,1,130193,0,1,0,1,1,80,Low Risk,Real
31,Business Analyst,Gurgaon,IT,100092-140468,Cognizant,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,,0,1,0,Contract,Entry level,Master's Degree,Finance,IT,0,221,140,1,1,140468,0,1,0,0,0,95,Low Risk,Real
32,Graphic Designer,Ahmedabad,Design,100016-117112,Flipkart,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Health insurance, PF, gratuity, flexible hours",0,1,0,Temporary,Director,B.Tech,Information Technology,Operations,0,221,130,1,0,117112,0,1,0,1,0,95,Low Risk,Real
33,Operations Manager,Chennai,IT,112764-160573,TCS,"As part of our team, you will design, develop, and maintain systems that power our platform. You should have a strong foundation in your field and be comfortable working in an agile environment.",Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Health insurance, PF, gratuity, flexible hours",0,0,0,Part-time,Not Applicable,Master's Degree,Manufacturing,Product,0,194,130,1,0,160573,0,1,0,1,0,85,Low Risk,Real
34,Financial Analyst,Bengaluru,Engineering,119304-147412,Zomato,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Health insurance, PF, gratuity, flexible hours",0,0,0,Full-time,Not Applicable,MBA,Education,Finance,0,275,130,1,0,147412,0,1,0,0,0,90,Low Risk,Real
35,Business Analyst,Chennai,Sales,82609-131067,HCL Technologies,"As part of our team, you will design, develop, and maintain systems that power our platform. You should have a strong foundation in your field and be comfortable working in an agile environment.",Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,,1,1,1,Temporary,Mid-Senior level,MCA,BFSI,Finance,0,194,130,1,1,131067,0,1,0,1,1,90,Low Risk,Real
36,Product Manager,Kolkata,Finance,104949-116611,HDFC Bank,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Annual bonus, remote work option, learning budget",1,1,0,Full-time,Mid-Senior level,MCA,BFSI,Engineering,0,221,130,1,0,116611,0,1,0,0,1,100,Low Risk,Real
37,Urgent – Wire Transfer Specialist,Online,Sales,196500-335524,,Guaranteed income! Work only 2 hours per day and earn full-time salary. We pay weekly via PayPal or wire transfer. Apply now before positions are filled!,Willing to work independently. No qualifications needed.,Weekly payout,1,0,0,Temporary,Not Applicable,Unspecified,,,1,153,56,0,2,335524,1,1,6,1,1,0,High Risk,Fake
38,Content Writer,Mumbai,Product,30286-68006,Swiggy,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,,1,1,0,Full-time,Director,B.Tech,BFSI,Engineering,0,275,130,1,1,68006,0,1,0,0,1,95,Low Risk,Real
39,HR Specialist,Ahmedabad,Marketing,61381-80161,HDFC Bank,"As part of our team, you will design, develop, and maintain systems that power our platform. You should have a strong foundation in your field and be comfortable working in an agile environment.",Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Health insurance, PF, gratuity, flexible hours",1,1,0,Part-time,Entry level,MBA,BFSI,Engineering,0,194,134,1,0,80161,0,1,0,1,1,95,Low Risk,Real
40,UI/UX Designer,Chennai,Design,63776-109028,IBM India,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Medical cover, paid leave, team outings",1,1,0,Temporary,Not Applicable,B.Com,Information Technology,Product,0,164,130,1,0,109028,0,1,0,1,1,95,Low Risk,Real
41,Marketing Manager,Ahmedabad,Engineering,59536-89245,Microsoft India,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Annual bonus, remote work option, learning budget",1,1,0,Contract,Not Applicable,PhD,BFSI,Sales,0,164,140,1,0,89245,0,1,0,0,1,100,Low Risk,Real
42,Unlimited Income Opportunity,Work From Home,Other,67590-277565,,"Make real money from home. All you need is a phone and internet connection. Earn $500 daily. No boss, no office, no stress. Join thousands of happy workers!",,,1,0,0,Temporary,Not Applicable,Unspecified,Other,,1,156,0,0,3,277565,1,1,2,1,1,0,High Risk,Fake
43,UI/UX Designer,Bengaluru,Marketing,,Flipkart,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Health insurance, PF, gratuity, flexible hours",0,1,1,Part-time,Not Applicable,MBA,Manufacturing,Marketing,0,164,140,1,1,0,0,0,0,1,0,90,Low Risk,Real
44,Software Engineer,Bengaluru,Marketing,,Wipro,"As part of our team, you will design, develop, and maintain systems that power our platform. You should have a strong foundation in your field and be comfortable working in an agile environment.",Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,,0,1,0,Contract,Director,Bachelor's Degree,Retail,Engineering,0,194,134,1,2,0,0,0,0,0,0,90,Low Risk,Real
45,Online Data Entry – $80/hr,Remote,Sales,253244-317844,Anonymous,Urgent hiring! Wire transfer agents needed worldwide. Receive payments and transfer funds. High commission paid instantly. Confidential work.,,Weekly payout,1,0,0,Other,Not Applicable,Unspecified,Online,,1,141,0,1,1,317844,1,1,2,2,1,39,Medium Risk,Fake
46,Graphic Designer,Noida,Engineering,66010-113041,Cognizant,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,,0,1,1,Part-time,Not Applicable,B.Com,Manufacturing,Sales,0,275,134,1,1,113041,0,1,0,1,0,90,Low Risk,Real
47,Content Writer,Pune,Product,36877-54567,TCS,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Health insurance, PF, gratuity, flexible hours",0,1,1,Contract,Director,B.Tech,Retail,Product,0,164,130,1,0,54567,0,1,0,0,0,100,Low Risk,Real
48,Business Analyst,Mumbai,Engineering,105310-115494,IBM India,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Annual bonus, remote work option, learning budget",1,1,0,Contract,Entry level,MCA,Education,IT,0,275,140,1,0,115494,0,1,0,0,1,100,Low Risk,Real
49,Graphic Designer,Bengaluru,Marketing,72517-119714,TCS,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Health insurance, PF, gratuity, flexible hours",1,1,1,Temporary,Director,PhD,Education,Human Resources,0,275,134,1,0,119714,0,1,0,1,1,95,Low Risk,Real
50,Unlimited Income Opportunity,Online,,179047-262996,,Guaranteed income! Work only 2 hours per day and earn full-time salary. We pay weekly via PayPal or wire transfer. Apply now before positions are filled!,Must have PayPal or bank account to receive payments.,Weekly payout,1,0,0,Part-time,Not Applicable,,Online,Other,1,153,53,0,3,262996,1,1,5,1,1,0,High Risk,Fake
51,Make Money Fast – Part Time,Online,,411267-671188,Anonymous,No experience needed! Earn up to $5000 per week working from home. Just sign up and start earning immediately. Limited spots available!,,Weekly payout,1,0,0,Part-time,Not Applicable,,Online,Other,1,135,0,1,3,671188,1,1,4,1,1,18,High Risk,Fake
52,Graphic Designer,Noida,Product,,Cognizant,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Health insurance, PF, gratuity, flexible hours",0,1,1,Part-time,Entry level,MCA,Healthcare,Finance,0,221,130,1,1,0,0,0,0,1,0,90,Low Risk,Real
53,HR Specialist,Kolkata,Marketing,73983-100576,Infosys,"As part of our team, you will design, develop, and maintain systems that power our platform. You should have a strong foundation in your field and be comfortable working in an agile environment.",Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Medical cover, paid leave, team outings",0,1,0,Part-time,Entry level,BCA,BFSI,Finance,0,194,140,1,0,100576,0,1,0,1,0,95,Low Risk,Real
54,Graphic Designer,Ahmedabad,Human Resources,48139-69313,,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Medical cover, paid leave, team outings",0,0,0,Temporary,Mid-Senior level,PhD,Healthcare,Product,0,275,140,0,1,69313,0,1,0,1,0,50,Medium Risk,Real
55,HR Specialist,Ahmedabad,IT,108688-156461,HDFC Bank,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Annual bonus, remote work option, learning budget",1,1,0,Contract,Mid-Senior level,PhD,Information Technology,IT,0,275,130,1,0,156461,0,1,0,0,1,100,Low Risk,Real
56,Online Data Entry – $80/hr,Remote,Sales,141565-379128,,"Make real money from home. All you need is a phone and internet connection. Earn $500 daily. No boss, no office, no stress. Join thousands of happy workers!",No experience required. Just have a smartphone and internet.,Fast cash,1,0,0,Part-time,Not Applicable,Unspecified,Online,Other,1,156,60,0,1,379128,1,1,1,1,1,12,High Risk,Fake
57,Operations Manager,Delhi,Marketing,,Infosys,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,,0,0,1,Part-time,Mid-Senior level,B.Com,Education,Finance,0,221,134,1,2,0,0,0,0,1,0,75,Low Risk,Real
58,Online Data Entry – $80/hr,Remote,Other,403371-607875,Anonymous,Urgent hiring! Wire transfer agents needed worldwide. Receive payments and transfer funds. High commission paid instantly. Confidential work.,No experience required. Just have a smartphone and internet.,Fast cash,1,0,0,Temporary,Not Applicable,,Other,Other,1,141,60,1,1,607875,1,1,2,1,1,44,Medium Risk,Fake
59,Business Analyst,Bengaluru,Marketing,116412-166180,TCS,"As part of our team, you will design, develop, and maintain systems that power our platform. You should have a strong foundation in your field and be comfortable working in an agile environment.",Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,,1,1,1,Full-time,Internship,BCA,Manufacturing,Design,0,194,134,1,1,166180,0,1,0,0,1,95,Low Risk,Real
60,HR Specialist,Pune,Marketing,,HCL Technologies,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Medical cover, paid leave, team outings",1,1,1,Part-time,Director,B.Com,Information Technology,Engineering,0,275,134,1,1,0,0,0,0,1,1,90,Low Risk,Real
61,Data Analyst,Delhi,Marketing,33241-76785,Flipkart,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Health insurance, PF, gratuity, flexible hours",1,1,1,Temporary,Entry level,PhD,BFSI,Engineering,0,164,134,1,0,76785,0,1,0,1,1,95,Low Risk,Real
62,Financial Analyst,Gurgaon,Sales,,Oracle India,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Health insurance, PF, gratuity, flexible hours",0,1,0,Temporary,Mid-Senior level,B.Com,Manufacturing,Product,0,164,140,1,1,0,0,0,0,1,0,90,Low Risk,Real
63,Unlimited Income Opportunity,Anywhere,Sales,190193-414138,,Guaranteed income! Work only 2 hours per day and earn full-time salary. We pay weekly via PayPal or wire transfer. Apply now before positions are filled!,No experience required. Just have a smartphone and internet.,Unlimited earning potential,1,0,0,Temporary,Not Applicable,,,,1,153,60,0,3,414138,1,1,5,1,1,0,High Risk,Fake
64,Customer Support Agent,Delhi,Engineering,76014-96117,Amazon India,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,,0,1,1,Contract,Internship,MBA,Finance,Marketing,0,221,134,1,1,96117,0,1,0,0,0,95,Low Risk,Real
65,Envelope Stuffing Job – High Pay,Remote,,72686-236110,,Guaranteed income! Work only 2 hours per day and earn full-time salary. We pay weekly via PayPal or wire transfer. Apply now before positions are filled!,Willing to work independently. No qualifications needed.,Fast cash,1,0,0,Other,Not Applicable,High School or equivalent,Other,Other,1,153,56,0,2,236110,1,1,4,2,1,0,High Risk,Fake
66,Easy Money – No Experience Needed,Online,Other,109773-275865,Anonymous,Urgent hiring! Wire transfer agents needed worldwide. Receive payments and transfer funds. High commission paid instantly. Confidential work.,No experience required. Just have a smartphone and internet.,Weekly payout,1,0,0,Other,Not Applicable,High School or equivalent,,,1,141,60,1,1,275865,1,1,4,2,1,23,High Risk,Fake
